EC	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New_Hampshire	New_Jersey	New_Mexico	New_York	North_Carolina	North_Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode_Island	South_Carolina	South_Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West_Virginia	Wisconsin	Wyoming
1920	30	4	40	18	232	31	22	6	117	60	8	10	80	40	19	18	27	28	8	36	41	62	33	19	37	6	11	17	8	55	13	121	59	4	72	23	24	79	7	29	5	40	157	17	4	50	42	12	35	4
1924	30	4	40	18	233	31	22	6	117	60	9	10	80	40	19	18	27	28	8	36	41	62	33	19	37	6	11	17	8	55	13	121	60	4	72	23	24	79	7	29	5	40	157	17	4	50	42	12	36	4
1928	30	4	40	18	233	31	22	6	118	61	9	10	80	41	19	18	27	28	8	36	41	62	33	19	37	6	11	17	8	55	13	121	60	4	72	23	24	80	7	29	5	40	157	17	4	50	42	12	36	4
1932	30	4	40	18	233	32	22	6	118	61	9	10	80	41	19	18	27	28	8	36	41	62	33	19	38	6	11	17	8	55	13	121	60	4	72	24	24	80	7	29	5	40	158	17	4	50	42	12	36	4
1936	30	4	40	18	234	32	22	6	118	61	9	10	81	41	19	18	27	28	8	36	41	62	33	19	38	6	11	17	8	55	13	122	60	4	73	24	24	80	7	29	5	40	158	17	4	50	42	12	36	4
1940	30	4	40	18	235	32	23	6	118	61	9	10	81	41	19	18	27	29	8	36	41	62	33	19	38	6	12	17	8	55	13	122	60	4	73	24	24	80	7	29	5	40	158	17	4	50	42	12	36	4
1944	30	5	40	18	235	32	23	6	119	61	9	10	81	41	19	18	27	29	8	36	41	62	33	19	38	6	12	17	8	55	13	122	60	4	73	24	24	80	7	29	5	40	159	17	4	51	42	12	36	4
1948	30	5	40	18	235	32	23	6	119	61	9	10	81	41	19	18	27	29	8	37	41	62	34	19	38	6	12	17	8	56	13	122	60	4	73	24	24	80	7	29	5	40	159	17	4	51	43	12	36	4
1952	30	5	40	18	236	32	23	6	119	61	9	10	81	41	19	18	27	29	8	37	41	63	34	19	38	6	12	17	8	56	13	123	60	4	73	24	24	80	7	29	5	40	159	18	4	51	43	12	36	4
1956	30	5	41	18	236	32	23	6	119	61	9	10	81	41	19	18	28	29	8	37	42	63	34	19	38	6	12	17	8	56	13	123	60	4	73	24	24	81	7	29	5	40	159	18	4	51	43	12	36	4
1960	30	5	41	19	236	32	23	6	119	62	9	10	81	41	19	18	28	29	8	37	42	63	34	19	38	6	12	17	8	56	13	123	61	4	73	24	24	81	7	29	5	40	160	18	4	51	43	12	36	4
1964	30	5	41	19	237	32	23	6	120	62	9	10	82	41	19	18	28	29	8	37	42	63	34	19	38	6	12	17	8	56	13	123	61	4	74	24	24	81	7	29	5	40	160	18	4	51	43	12	36	4
1968	31	5	41	19	238	32	23	6	120	62	9	10	82	41	19	18	28	29	8	37	42	63	34	19	38	6	12	17	8	56	13	124	61	4	74	24	24	81	7	30	5	40	160	18	4	51	43	12	36	4
1972	31	5	41	19	238	32	23	6	120	62	9	10	82	41	19	18	28	29	9	37	42	63	34	19	38	6	12	17	8	56	13	124	61	4	74	24	25	81	7	30	5	41	161	18	4	51	43	12	36	4
1976	31	5	41	19	239	32	23	6	121	62	9	10	82	42	20	18	28	29	9	37	42	63	34	19	38	6	12	17	8	56	13	124	61	4	74	24	25	81	7	30	5	41	161	18	4	51	43	12	36	4
1980	31	5	41	19	239	32	23	6	121	62	9	10	82	42	20	18	28	29	9	37	42	64	34	19	38	6	12	17	8	56	13	124	61	4	74	24	25	82	7	30	5	41	162	18	4	51	43	12	37	4
1984	31	5	41	19	240	32	23	6	121	62	9	10	82	42	20	18	28	29	9	37	42	64	34	19	39	6	12	17	8	57	13	125	61	4	74	24	25	82	7	30	5	41	162	18	4	51	43	12	37	4
1988	31	5	41	19	240	32	23	6	121	62	9	10	83	42	20	18	28	29	9	37	42	64	34	19	39	6	12	17	9	57	13	125	62	4	74	24	25	82	7	30	5	41	162	18	4	52	43	12	37	4
1992	31	5	41	19	241	33	23	6	121	63	9	10	83	42	20	18	28	29	9	37	42	64	34	19	39	6	12	17	9	57	13	125	62	4	75	24	25	82	7	30	5	41	162	18	4	52	43	12	37	4
1996	31	5	41	19	241	33	23	6	122	63	9	10	83	42	20	18	28	29	9	37	42	64	34	19	39	6	12	17	9	57	13	126	62	4	75	24	25	82	7	30	5	41	163	18	4	52	44	12	37	4
2000	31	5	41	19	242	33	23	6	122	63	9	10	83	42	20	19	28	29	9	37	43	64	34	19	39	6	12	18	9	57	13	126	62	4	75	24	25	82	7	30	5	41	163	18	4	52	44	12	37	4
2004	31	5	42	19	242	33	23	6	122	63	9	10	83	42	20	19	28	29	9	38	43	64	34	19	39	6	12	18	9	57	13	126	62	4	75	24	25	83	7	30	5	41	164	18	4	52	44	12	37	4
2008	31	5	42	19	243	33	23	6	122	63	9	10	84	42	20	19	28	30	9	38	43	64	35	19	39	6	12	18	9	57	13	126	62	4	75	24	25	83	7	30	5	41	164	18	4	52	44	12	37	4
2012	31	5	42	19	243	33	23	6	123	63	9	10	84	42	20	19	28	30	9	38	43	65	35	19	39	6	12	18	9	57	13	127	62	4	75	25	25	83	7	30	5	41	164	18	4	52	44	12	37	4
