EC	Alabama	Alaska	Arizona	Arkansas	California	Colorado	Connecticut	Delaware	Florida	Georgia	Hawaii	Idaho	Illinois	Indiana	Iowa	Kansas	Kentucky	Louisiana	Maine	Maryland	Massachusetts	Michigan	Minnesota	Mississippi	Missouri	Montana	Nebraska	Nevada	New_Hampshire	New_Jersey	New_Mexico	New_York	North_Carolina	North_Dakota	Ohio	Oklahoma	Oregon	Pennsylvania	Rhode_Island	South_Carolina	South_Dakota	Tennessee	Texas	Utah	Vermont	Virginia	Washington	West_Virginia	Wisconsin	Wyoming
435	7	1	9	4	53	7	5	1	27	14	2	2	18	9	4	4	6	6	2	8	9	14	8	4	8	1	3	4	2	12	3	27	13	1	16	5	5	18	2	7	1	9	36	4	1	11	10	3	8	1
436	7	1	9	4	53	7	5	1	27	14	2	2	18	9	4	4	6	6	2	8	9	14	8	4	8	1	3	4	2	12	3	27	14	1	16	5	5	18	2	7	1	9	36	4	1	11	10	3	8	1
437	7	1	9	4	53	7	5	1	27	14	2	2	18	9	4	4	6	6	2	8	9	14	8	4	9	1	3	4	2	12	3	27	14	1	16	5	5	18	2	7	1	9	36	4	1	11	10	3	8	1
438	7	1	9	4	53	7	5	1	27	14	2	2	18	9	4	4	6	6	2	8	9	14	8	4	9	1	3	4	2	12	3	28	14	1	16	5	5	18	2	7	1	9	36	4	1	11	10	3	8	1
439	7	1	9	4	53	7	5	1	27	14	2	2	18	9	4	4	6	6	2	8	9	14	8	4	9	1	3	4	2	13	3	28	14	1	16	5	5	18	2	7	1	9	36	4	1	11	10	3	8	1
440	7	1	9	4	53	7	5	1	27	14	2	2	18	9	4	4	6	6	2	8	9	14	8	4	9	2	3	4	2	13	3	28	14	1	16	5	5	18	2	7	1	9	36	4	1	11	10	3	8	1
441	7	1	9	4	53	7	5	1	27	14	2	2	18	9	4	4	6	7	2	8	9	14	8	4	9	2	3	4	2	13	3	28	14	1	16	5	5	18	2	7	1	9	36	4	1	11	10	3	8	1
442	7	1	9	4	53	7	5	1	27	14	2	2	18	9	4	4	6	7	2	8	9	14	8	4	9	2	3	4	2	13	3	28	14	1	17	5	5	18	2	7	1	9	36	4	1	11	10	3	8	1
443	7	1	9	4	53	7	5	1	27	14	2	2	18	9	4	4	6	7	2	8	9	14	8	4	9	2	3	4	2	13	3	28	14	1	17	5	6	18	2	7	1	9	36	4	1	11	10	3	8	1
444	7	1	9	4	53	7	5	1	27	14	2	2	18	9	4	4	6	7	2	8	9	14	8	4	9	2	3	4	2	13	3	28	14	1	17	5	6	18	2	7	1	9	36	4	1	12	10	3	8	1
